Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
Fecha,Medio,Título,Resumen
2025-05-31 00:00:00,La Silla Rota (sitio),Alumno denunciado por acoso demanda a la UAM; tribunal respalda acciones para proteger a víctima,"En marzo de 2017, una estudiante de la Universidad Autónoma Metropolitana (UAM) Azcapotzalco denunció a un compañero por violación agravada, hostigamiento y acoso, y como medida precautoria, la universidad le prohibió al estudiante denunciado tener contacto con ella dentro del campus."
2025-05-31 00:00:00,La Silla Rota (sitio),Tribunal rechaza amparo de alumno de la UAM acusado de agresión sexual,"En marzo de 2017, una estudiante de la Universidad Autónoma Metropolitana (UAM) Azcapotzalco denunció a un compañero por violación agravada, hostigamiento y acoso, y como medida precautoria, la universidad le prohibió al estudiante denunciado tener contacto con ella dentro del campus."
2025-05-31 00:00:00,El Universal (sitio),Pensar desde el colapso: por una metafísica para rehacer el mundo,"A la Tana, amiga inmensa"
2025-05-31 00:00:00,TV. Azteca MX (sitio),Prepas con Pase Directo a la UNAM y UAM en 2025: guía completa,"Conoce las prepas que tienen pase directo a la UNAM y UAM en 2025. Revisa requisitos, fechas clave y carreras disponibles. Aquí todos los detalles."
2025-05-29 00:00:00,El Economista (sitio),Pase UAM ¿A qué carreras y planteles podrán acceder los egresados del Colegio de Bachilleres?,"Para el trimestre 2025 Otoño, que inicia en el mes de octubre, la Universidad Autónoma Metropolitana (UAM) recibirá a un mayor número de estudiantes que egresen del Colegio de Bachilleres como parte del programa ""Pase UAM""."
2025-05-29 00:00:00,El Economista,¿A qué carreras y planteles podrán acceder los egresados del Colegio de Bachilleres?,Los estudiantes que no fueran seleccionados por Pase UAM podrán continuar SU proceso de admisión mediante examen.
2025-05-29 00:00:00,TV. Azteca MX (sitio),Pase UAM 2025: Conoce la lista de las carreras con más lugares para los estudiantes,Descubre cuáles son las carreras de la UAM con más lugares para el Pase Directo 2025. Y conoce las fechas claves de este acceso a la educación superior.
2025-05-28 00:00:00,DEPOR Medio Tiempo,¡Atención! Estas dos carreras NO entrarán en el Pase UAM 2025; conoce cuáles puedes elegir,"A pesar de que pueden elegir 57 licenciaturas, los estudiantes de COLBACH que apliquen el Pase UAM 2025 no podrán elegir estas dos carreras por esta razón."
2025-05-28 00:00:00,Milenio (sitio),"Director de CCH Naucalpan renuncia a su cargo ""por motivos personales""","El lunes 26 de mayo, el director del Colegio de Ciencias y Humanidades (CCH) plantel Naucalpan, Keshava Rolando Quintanar Cano, presentó su renuncia al cargo por motivos personales."
2025-05-28 00:00:00,Chilango (sitio),¿Qué árboles se dan en la CDMX? Descúbrelo en estos recorridos,"La CDMX está llena de árboles de todas formas y tamaños, pero ¿sabes cuáles son y cómo reconocerlos? Una forma diferente y divertida de conocerlos es con los recorridos guiados que organiza Francisco Arjona, ingeniero ambiental egresado de la UAM Azcapotzalco."
2025-05-28 00:00:00,JLA Noticias CDMX (Sitio),¿Qué árboles se dan en la CDMX? Descúbrelo en estos recorridos,"La CDMX está llena de árboles de todas formas y tamaños, pero ¿sabes cuáles son y cómo reconocerlos? Una forma diferente y divertida de conocerlos es con los recorridos guiados que organiza Francisco Arjona, ingeniero ambiental egresado de la UAM Azcapotzalco."
2025-05-28 00:00:00,EDT Estado del Tiempo MX (sitio),RTP moviliza a más de 240 mil estudiantes con Sendero Seguro en 2025,"Ciudad de México.- Durante los primeros cuatro meses de 2025, la Red de Transporte de Pasajeros (RTP) de la Ciudad de México ha logrado trasladar de manera segura, económica y eficiente a 242,242 estudiantes de nivel medio superior y superior a través del programa Sendero Seguro. Esta iniciativa tiene como objetivo proporcionar una alternativa de transporte que resguarde la integridad de miles de jóvenes, especialmente durante horarios extraordinarios y trayectos estratégicos."
2025-05-27 00:00:00,Noticias MVS (Sitio),Convocatoria UAM 2025: estas son las carreras que NO tienen pase directo de Bachilleres,"La UAM lanzó su convocatoria 2025 con pase directo para alumnos de Bachilleres, pero no todas las carreras participan. Aquí los detalles."
2025-05-27 00:00:00,El Universal (sitio),RTP ha movilizado más de 242 mil estudiantes a través del programa Sendero Seguro; estas son las escuelas beneficiadas,"El programa brinda una tarifa especial al mostrar una identificación escolar especial, además de seguridad durante el trayecto"
2025-05-27 00:00:00,Infobae América (Sitio),Pase UAM 2025: cuáles son las licenciaturas que no participan en el proceso,Quienes concluyen sexto semestre en el Colegio de Bachilleres podrán acceder a este proceso
2025-05-27 00:00:00,EDT Estado del Tiempo MX (sitio),RTP moviliza a más de 240 mil estudiantes con Sendero Seguro en 2025,"Ciudad de México.- Durante los primeros cuatro meses de 2025, la Red de Transporte de Pasajeros (RTP) de la Ciudad de México ha logrado trasladar de manera segura, económica y eficiente a 242,242 estudiantes de nivel medio superior y superior a través del programa Sendero Seguro. Esta iniciativa tiene como objetivo proporcionar una alternativa de transporte que resguarde la integridad de miles de jóvenes, especialmente durante horarios extraordinarios y trayectos estratégicos."
2025-05-27 00:00:00,Metro Noticias MX (Sitio),"RTP servicio seguro para estudiantes, sin paradas intermedias y con tarifa preferencial","La Red de Transporte de Pasajeros (RTP) informa que, durante el primer cuatrimestre de 2025, ha movilizado de manera segura, exclusiva, económica y eficiente a 242 mil 242 estudiantes de nivel medio superior y superior de escuelas de la Ciudad de México, a través del programa Sendero Seguro."
2025-05-27 00:00:00,Hoja de Ruta (Sitio),Moviliza RTP a más de 242 mil 242 estudiantes de manera segura,"A través del programa Sendero Seguro, la RTP ha transportado a más de 242 mil estudiantes durante el primer cuatrimestre de este año Participan instituciones como la UNAM, IPN, UAM, UACM, TecNM, UPN y ENAH El servicio opera en horarios exclusivos, sin paradas intermedias y con tarifa preferencial"
2025-05-27 00:00:00,La Lista (sitio),Pase directo UAM 2025: Estas son licenciaturas a las que estudiantes de Bachilleres NO tienen pase directo,"Luego de que se diera a conocer la puesta en marcha del ""Pase UAM 2025"", un acuerdo entre la Universidad Autónoma Metropolitana (UAM) y el Colegio de Bachilleres (Colbach) para que los estudiantes del colegio puedan tener acceso a la Casa de Estudios Superiores, se dieron a conocer las licenciaturas a las que los estudiantes pueden tener acceso."
2025-05-27 00:00:00,La Silla Rota (sitio),Pase UAM: las licenciaturas a las que sí puedes aplicar; este es el promedio que necesitas,"En un país con una creciente necesidad de profesionales calificados, estudiar una carrera universitaria se ha convertido en una meta clave para miles de jóvenes mexicanos. Obtener un título universitario no solo representa una vía para mejorar la calidad de vida, sino también una herramienta para reducir la desigualdad y fomentar el desarrollo económico y social."
2025-05-27 00:00:00,elvalledemexico (Facebook),Para reflexionar entre jóvenes de cuatro universidades públicas sobre la elección de jueces y magistrados del Poder Judicial de la Federación,"~ Para reflexionar entre jóvenes de cuatro universidades públicas sobre la elección de jueces y magistrados del Poder Judicial de la Federación
 
 UACM Cuautepec 
 UNAM Universidad Nacional Autónoma de México 
 UAM Azcapotzalco 
 
 #ElValle #Debate #PoderJudicial #UNAM"
2025-05-26 00:00:00,Infobae América (Sitio),Pase UAM vs Pase UNAM: en cuál es más difícil ingresar a una carrera sin hacer examen,"Los egresados de CCH, Prepa y Colegio de Bachilleres pueden acceder a una licenciatura con estos procesos, dependiendo el caso"
2025-05-26 00:00:00,La Silla Rota (sitio),Pase UAM: estas son las licenciaturas a las que sí puedes aplicar; este es el promedio que necesitas,"En un país con una creciente necesidad de profesionales calificados, estudiar una carrera universitaria se ha convertido en una meta clave para miles de jóvenes mexicanos. Obtener un título universitario no solo representa una vía para mejorar la calidad de vida, sino también una herramienta para reducir la desigualdad y fomentar el desarrollo económico y social."
2025-05-26 00:00:00,La Jornada,Tribunal niega amparo a alumno de UAM acusado de violencia de género,Tribunal niega amparo a alumno de la UAM acusado de violencia de género
2025-05-26 00:00:00,EDO.MEX El Día,Tribunal colegiado niega amparo e indemnización a estudiante acusado de delito,"El I Tribunal Colegiado en Materia Administrativa con sede en Naucalpan, Estado de México, negó el amparo solicitado por un estudiante de la Universidad Autónoma Metropolitana (UAM) campus Azcapotzalco, quien reclamó la responsabilidad patrimonial del Estado por presuntas afectaciones a su persona, derivadas de medidas precautorias implementadas tras ser acusado de violencia de género."
2025-05-26 00:00:00,Basta,Rechazan amparo a exalumno,"El Primer Tribunal Colegiado en Materia Administrativa del Segundo Circuito, con sede en Naucalpan, Estado de México, negó el amparo solicitado por un exalumno de la Universidad Autónoma Metropolitana (UAM) Unidad Azcapotzalco, quien fue señalado por violencia de género y discriminación dentro del campus."
2025-05-26 00:00:00,La Querella Digital CDMX (sitio),UAM gana juicio a estudiante acusado de violencia de género,Adriana Morales
2025-05-25 00:00:00,TV. Azteca MX (sitio),Pase UAM: Las licenciaturas a las que los Bachilleres que no tienen pase directo en 2025,El Pase UAM 2025 brinda a los Bachilleres una oferta de 57 licenciaturas que se imparten en cuatro planteles sin necesidad de presentar examen de admisión.
2025-05-25 00:00:00,El Universal (sitio),Niegan amparo a estudiante de la UAM acusado de violencia de género; buscaba indemnización del Estado,"El Primer Tribunal Colegiado en Materia Administrativa, con sede en Naucalpan, Estado de México, negó el amparo que solicitó un estudiante de la Universidad Autónoma Metropolitana (UAM), Plantel Azcapotzalco, quien reclamó la responsabilidad patrimonial del Estado por presuntas afectaciones a su persona."
2025-05-25 00:00:00,México-times CDMX (sitio),Niegan amparo a estudiante de la UAM por violencia de género,"El Primer Tribunal Colegiado en Materia Administrativa, con sede en Naucalpan, estado de México, negó el amparo a un estudiante de la Universidad Autónoma Metropolitana (UAM), Azcapotzalco, quien reclamó la responsabilidad patrimonial del Estado por presuntas afectaciones a su persona, derivadas de medidas precautorias implementadas, luego de ser acusado de violencia de género."
2025-05-25 00:00:00,Milenio (sitio),UAM gana juicio contra estudiante denunciado por violencia de género,"Un Tribunal Federal rechazó amparar a un estudiante de la Universidad Autónoma Metropolitana (UAM), plantel Azcapotzalco, quien reclamó la responsabilidad patrimonial del Estado por presuntas afectaciones a su persona, debido a las medidas precautorias que puso en marcha la casa de estudios, tras ser acusado de violencia de género."
2025-05-25 00:00:00,ContraRéplica CDMX (Sitio),Tribunal niega amparo e indemnización a estudiante acusado de violencia de género en la UAM Azcapotzalco,"Claudia Bolaños El Primer Tribunal Colegiado en Materia Administrativa, con sede en Naucalpan, Estado de México, resolvió negar el amparo solicitado por un estudiante de la Universidad Autónoma Metropolitana (UAM), unidad Azcapotzalco, quien reclamaba responsabilidad patrimonial del Estado tras haber sido objeto de medidas precautorias derivadas de una acusación por violencia de género.El tribunal determinó que las acciones de la UAM no constituyeron actos irregulares, por lo que no se acreditó un daño que hiciera procedente la indemnización solicitada. La resolución se dio en el contexto del amparo directo 437/2023.Antecedentes del casoEn marzo de 2017, una alumna de la UAM denunció a un compañero por violación agravada, aprovechamiento de confianza, hostigamiento y acoso, hechos que ocurrieron, en parte, dentro de las instalaciones universitarias. Como medida preventiva, el rector de la unidad Azcapotzalco dictó restricciones de contacto entre ambas partes para proteger la integridad de la denunciante.El acusado interpuso posteriormente una demanda de nulidad, argumentando que estas acciones afectaban sus derechos y lo ponían en riesgo.Sentencia con perspectiva de géneroEl tribunal evaluó el contexto de violencia de género en espacios académicos, subrayando la obligación de las autoridades de garantizar ambientes seguros. Concluyó que las medidas tomadas por la UAM fueron proporcionales y conformes al marco constitucional.En la sentencia también se destacó que expresiones públicas como pancartas o ""tendederos de denuncia"" forman parte del derecho a la libertad de expresión de las víctimas, quienes muchas veces recurren a estos medios por la falta de respuestas institucionales eficaces.Asimismo, se aclaró que el quejoso no quedó en estado de indefensión, pues tuvo a su alcance mecanismos de réplica. Las medidas precautorias fueron consideradas necesarias para salvaguardar los derechos de la presunta víctima.El fallo fue aprobado por unanimidad, reafirmando la importancia de juzgar con perspectiva de género."
2025-05-25 00:00:00,Billie Parker Noticias (sitio),DE LA MUNIFICENCIA DE MAULEÓN A LA ROÑA DE NOROÑA,*
2025-05-24 00:00:00,El Heraldo Aguascalientes AGS (sitio),Cierran Parque Bicentenario tras retiro de concesión,"CIUDAD DE MÉXICO: Los accesos al Parque Bicentenario, ubicado en los límites de la Alcaldía Miguel Hidalgo y Azcapotzalco, quedaron asegurados, luego de que el Gobierno federal ordenó el retiro de la concesión al particular que administrativa el inmueble."
2025-05-24 00:00:00,ZAC NTR,Retiran concesión y queda asegurado,"Los accesos al Parque Bicentenario, ubicado en los límites de la Alcaldía Miguel Hidalgo y Azcapotzalco, quedaron ayer asegurados, luego de que el Gobierno federal ordenó el retiro de la concesión al particular que administrativa el inmueble."
2025-05-24 00:00:00,JAL Mural,Retiran concesión tras Axe Ceremonia,"Los accesos al Parque Bicentenario, ubicado en los límites de la Alcaldía Miguel Hidalgo y Azcapotzalco de la Ciudad de México, quedaron ayer asegurados, luego de que el Gobierno federal ordenó el retiro de la concesión al particular que administrativa el inmueble."
2025-05-24 00:00:00,Reforma,Recupera gobierno parque bicentenario,RECUPERA GOBIERNO PARQUE BICENTENARIO
2025-05-24 00:00:00,TV. Azteca MX (sitio),¿Cuál es el promedio necesario para el Pase UAM 2025? Conoce los requisitos,¿Sabías que puedes ingresar a la UAM sin examen? Conoce el promedio mínimo y los requisitos para estudiantes del Colegio de Bachilleres en 2025.
2025-05-23 00:00:00,Reforma.com (sitio),Cierran Parque Bicentenario tras retiro de concesión,"Los accesos al Parque Bicentenario, ubicado en los límites de la Alcaldía Miguel Hidalgo y Azcapotzalco, quedaron asegurados, luego de que el Gobierno federal ordenó el retiro de la concesión al particular que administrativa el inmueble."
2025-05-23 00:00:00,La Silla Rota (sitio),Pase UAM: así debes hacer tu registro; esta es la fecha límite,"Contar con estudios universitarios no solo incrementa las oportunidades laborales y salariales, también permite a los jóvenes desarrollar pensamiento crítico, habilidades técnicas y un sentido de responsabilidad social. En un mercado cada vez más competitivo, tener un título profesional marca una diferencia significativa, especialmente en sectores como tecnología, salud, ciencias sociales, ingeniería y educación."
2025-05-22 00:00:00,CCO Noticias (sitio),La UAM lanza el Pase UAM 2025: ingreso directo para alumnos del Colegio de Bachilleres,"Ciudad de México, 23 de mayo de 2025. Por primera vez, la Universidad Autónoma Metropolitana (UAM) ha implementado el Pase UAM 2025, un programa que permite a estudiantes del Colegio de Bachilleres (Colbach) acceder a 57 licenciaturas sin presentar examen de admisión."
2025-05-22 00:00:00,HGO Plaza Juárez,Agenda educativa // Política educativa alimentaria: Los comedores universitarios (IV),Política educativa alimentaria: Los comedores universitarios (IV).
